%75 2
      4.0000     53.0000   
      5.0000     63.0000
     10.0000     59.0000
      9.0000     77.0000
     13.0000     49.0000
     13.0000     69.0000
     12.0000     88.0000
     15.0000     75.0000
     18.0000     61.0000
     19.0000     65.0000
     22.0000     74.0000
     27.0000     72.0000
     28.0000     76.0000
     24.0000     58.0000
     27.0000     55.0000
     28.0000     60.0000
     30.0000     52.0000
     31.0000     60.0000
     32.0000     61.0000
     36.0000     72.0000
     28.0000    147.0000
     32.0000    149.0000
     35.0000    153.0000
     33.0000    154.0000
     38.0000    151.0000
     41.0000    150.0000   
     38.0000    145.0000
     38.0000    143.0000
     32.0000    143.0000
     34.0000    141.0000
     44.0000    156.0000
     44.0000    149.0000
     44.0000    143.0000
     46.0000    142.0000
     47.0000    149.0000
     49.0000    152.0000
     50.0000    142.0000
     53.0000    144.0000
     52.0000    152.0000
     55.0000    155.0000
     54.0000    124.0000
     60.0000    136.0000
     63.0000    139.0000
     86.0000    132.0000
     85.0000    115.0000
     85.0000     96.0000
     78.0000     94.0000
     74.0000     96.0000
     97.0000    122.0000
     98.0000    116.0000
     98.0000    124.0000
     99.0000    119.0000
     99.0000    128.0000
    101.0000    115.0000
    108.0000    111.0000
    110.0000    111.0000
    108.0000    116.0000
    111.0000    126.0000
    115.0000    117.0000
    117.0000    115.0000
     70.0000      4.0000
     77.0000     12.0000
     83.0000     21.0000
     61.0000     15.0000
     69.0000     15.0000
     78.0000     16.0000
     66.0000     18.0000
     58.0000     13.0000
     64.0000     20.0000
     69.0000     21.0000
     66.0000     23.0000
     61.0000     25.0000
     76.0000     27.0000
     72.0000     31.0000
     64.0000     30.0000
